week,n,dispersion,logn
2025-12-01,296,0.5051155090332031,5.69035945432406
2025-12-08,289,0.5007638335227966,5.666426688112432
2025-12-15,267,0.49555182456970215,5.58724865840025
2025-12-22,249,0.501470148563385,5.517452896464707
2025-12-29,278,0.48560917377471924,5.627621113690637
2026-01-05,315,0.4750909209251404,5.752572638825633
2026-01-12,306,0.49801385402679443,5.723585101952381
2026-01-19,352,0.47516709566116333,5.863631175598097
2026-01-26,317,0.4864996075630188,5.75890177387728
2026-02-02,280,0.4897862672805786,5.634789603169249
2026-02-09,279,0.5096032917499542,5.631211781821365
2026-02-16,305,0.4967450499534607,5.720311776607412
2026-02-23,291,0.48313313722610474,5.673323267171493
2026-03-02,312,0.4801943302154541,5.7430031878094825
2026-03-09,301,0.47570860385894775,5.707110264748875
2026-03-16,299,0.4759434461593628,5.700443573390687
2026-03-23,281,0.475847065448761,5.638354669333745
2026-03-30,256,0.4873541593551636,5.545177444479562
