cohort,predictor,outcome,n_days,beta_std,ci_lo,ci_hi,partial_r,p_hac,p_circ,placebo_p,n_event_days,q_fdr
all,kp_max,fear,620,0.05451905310055665,9.38104358430697e-05,0.10894429576527023,0.06426129949007058,0.04960222556035422,0.1435483870967742,,,0.46543778801843316
all,kp_max,negativity,620,-0.02907544583551053,-0.08752199955471422,0.029371107883693157,-0.03207476273819122,0.32953917895141094,0.45483870967741935,,,0.793168880455408
all,storm_g1,neg_sentiment,620,0.0005890263973864791,-0.07925457255258866,0.08043262534736162,0.000665260091993864,0.9884634579488573,0.9870967741935484,0.9465,103.0,0.9870967741935484
all,storm_g1,nightmare_index,620,-0.013855782164489901,-0.06995188566306926,0.04224032133408945,-0.01662783074387731,0.6282996022608416,0.6741935483870968,0.6875,103.0,0.793168880455408
all,storm_g1,fear,620,0.017251581902463377,-0.03806850625325171,0.07257167005817847,0.020487013860358103,0.5410496819103643,0.5919354838709677,0.481,103.0,0.793168880455408
all,storm_g1,negativity,620,-0.055264501629284354,-0.12389877807515033,0.013369774816581623,-0.061424320349419165,0.11452031237062137,0.12580645161290321,0.0895,103.0,0.46543778801843316
en,moon_illumination,neg_sentiment,601,0.02204888527423771,-0.052759001498145774,0.09685677204662119,0.02313332966287864,0.5634730072646084,0.44093178036605657,,,0.7321131447587355
en,moon_illumination,nightmare_index,601,-0.014550898367067609,-0.09189572331302927,0.06279392657889406,-0.015529624733508971,0.7123250963522135,0.6455906821963394,,,0.7595184496427523
en,moon_illumination,fear,601,-0.004801055388585836,-0.10450920506285105,0.0949070942856794,-0.005097578855757217,0.9248103825087104,0.8785357737104825,,,0.925124792013311
en,moon_illumination,negativity,601,-0.019017101938545312,-0.09302514372280896,0.054990939845718324,-0.020006976460518588,0.6145133372799805,0.5108153078202995,,,0.7321131447587355
en,full_moon,neg_sentiment,601,-0.02751997107474757,-0.12074234853355671,0.06570240638406157,-0.029018977822035375,0.5628542127860308,0.4043261231281198,0.615,89.0,0.7321131447587355
en,full_moon,nightmare_index,601,-0.09236883945972416,-0.17204468361459208,-0.012692995304856236,-0.09907758946303241,0.023071802437592364,0.008319467554076539,0.0325,89.0,0.08319467554076539
en,full_moon,fear,601,-0.06843170472580062,-0.14714317127802323,0.010279761826421971,-0.07302586021990459,0.08837680965954252,0.07820299500831947,0.1015,89.0,0.3860232945091514
en,full_moon,negativity,601,-0.08802840496771987,-0.16316967636068413,-0.012887133574755613,-0.09307630812892656,0.021667273232525527,0.004991680532445923,0.038,89.0,0.08319467554076539
en,new_moon,neg_sentiment,601,-0.05901832775358008,-0.12962621379448847,0.011589558287328286,-0.06243915750714406,0.10136201366740637,0.07820299500831947,,,0.3860232945091514
en,new_moon,nightmare_index,601,-0.04795876907590375,-0.10666034899508875,0.010742810843281249,-0.05161232879031125,0.10930917865105749,0.11647254575707154,,,0.3882418191902384
en,new_moon,fear,601,-0.019969937020293774,-0.09442739040413349,0.05448751636354594,-0.021380936818944315,0.5991079258349219,0.5990016638935108,,,0.7487520798668885
en,new_moon,negativity,601,-0.053624343721907976,-0.12276677181552578,0.015518084371709838,-0.056887099288348564,0.12848472250473125,0.09650582362728785,,,0.3860232945091514
en,kp_max,neg_sentiment,601,0.005875695429789178,-0.0719193847755456,0.08367077563512396,0.006199981258503982,0.8823154676619193,0.8901830282861897,,,0.925124792013311
en,kp_max,nightmare_index,601,-0.0034665984843664835,-0.06659148435289765,0.059658287384164684,-0.003721302952071164,0.9142841523032775,0.9251247920133111,,,0.925124792013311
en,kp_max,fear,601,0.04800535380912838,-0.01648153819908863,0.1124922458173454,0.05126553623177681,0.1445475324912986,0.23793677204658903,,,0.5948419301164726
en,kp_max,negativity,601,-0.03736930782518823,-0.09746415597600269,0.022725540325626237,-0.03954108887357012,0.22291858012040455,0.324459234608985,,,0.7210205213533
en,storm_g1,neg_sentiment,601,0.03303910200193881,-0.04932483882511955,0.11540304282899717,0.03490398448341314,0.43173532278652826,0.3826955074875208,0.543,101.0,0.7321131447587355
en,storm_g1,nightmare_index,601,-0.024835786854804094,-0.09641310563894084,0.04674153192933265,-0.026689692007861254,0.4964552291306574,0.5124792013311148,0.381,101.0,0.7321131447587355
en,storm_g1,fear,601,0.02115852684831489,-0.043999804246797114,0.08631685794342689,0.02262147685544291,0.5244762322962753,0.5524126455906821,0.5965,101.0,0.7365501941209095
en,storm_g1,negativity,601,-0.057297884035698916,-0.13119379384465973,0.016598025773261908,-0.060697329114246905,0.1285719697461166,0.15141430948419302,0.0675,101.0,0.43261231281198004
