lang,metric,signal,n_weeks,r_level,p_level,r_diff,p_diff,best_lag_w,ccf_best,q_level,q_diff
all,negativity,sp500_ret,120,-0.02961118952705062,0.7333333333333333,-0.08415311238161328,0.4789915966386555,3,0.26195483897429855,0.9014150943396226,0.9838709677419355
all,negativity,epu,120,0.05516990793458949,0.6583333333333333,0.10314644702789864,0.3865546218487395,3,-0.11996585718348687,0.9014150943396226,0.9838709677419355
en,neg_sentiment,vix,120,0.04857305076477661,0.625,0.0574325060666212,0.5042016806722689,4,-0.12379000095305416,0.875,0.9838709677419355
en,neg_sentiment,dff,120,0.017523331872424663,0.9083333333333333,-0.09018379748423509,0.19327731092436976,5,0.11472275445534819,0.9666666666666667,0.9838709677419355
en,neg_sentiment,dollar,120,-0.03256909461072353,0.7916666666666666,-0.0534828442645438,0.4957983193277311,-6,-0.12390392446234115,0.9068181818181819,0.9838709677419355
en,neg_sentiment,yield_2s10s,120,-0.062243513177978514,0.7583333333333333,0.018013322208882465,0.8235294117647058,-1,-0.1469209188426627,0.9014150943396226,0.9838709677419355
en,neg_sentiment,hy_spread,120,0.007335322658506794,0.9666666666666667,0.17963422439461785,0.025210084033613446,2,-0.06486395437926538,0.9666666666666667,0.9838709677419355
en,neg_sentiment,sp500_ret,120,-0.09542724149683705,0.36666666666666664,-0.15929188153292362,0.15966386554621848,6,0.19746033351712883,0.75,0.9838709677419355
en,neg_sentiment,epu,120,-0.10174636809505044,0.44166666666666665,0.007190540218016043,0.9747899159663865,-2,-0.20776150780513086,0.7777777777777778,0.9838709677419355
en,nightmare_index,vix,120,0.1928071197655622,0.11666666666666667,0.07401364334353636,0.37815126050420167,4,-0.1845546897938318,0.6125,0.9838709677419355
en,nightmare_index,dff,120,-0.5050509650562097,0.008333333333333333,-0.008969504434325506,0.9243697478991597,-2,-0.24751189987367656,0.08750000000000001,0.9838709677419355
en,nightmare_index,dollar,120,-0.18686670854450582,0.5083333333333333,0.02763142397171436,0.7647058823529411,-4,-0.17615476832214175,0.8006249999999999,0.9838709677419355
en,nightmare_index,yield_2s10s,120,0.45573187015688554,0.008333333333333333,-0.04812695988209937,0.5462184873949579,-5,0.24780132603602237,0.08750000000000001,0.9838709677419355
en,nightmare_index,hy_spread,120,-0.12361954857035934,0.375,0.14917701707292477,0.05042016806722689,4,-0.18850678523502074,0.75,0.9838709677419355
en,nightmare_index,sp500_ret,120,-0.04419989957090269,0.5916666666666667,-0.1015193461647635,0.3445378151260504,3,0.19708243914225837,0.8471590909090909,0.9838709677419355
en,nightmare_index,epu,120,0.3538770939524017,0.008333333333333333,0.08765627078092507,0.5042016806722689,4,0.17088753372314716,0.08750000000000001,0.9838709677419355
en,negativity,vix,120,0.12693302698597966,0.275,0.03003569842434967,0.7899159663865546,6,-0.22473477369379571,0.75,0.9838709677419355
en,negativity,dff,120,-0.30875312255859094,0.008333333333333333,-0.019183538929110802,0.8235294117647058,-4,-0.17520176326626707,0.08750000000000001,0.9838709677419355
en,negativity,dollar,120,-0.13666600034743637,0.275,0.013488004894261893,0.9243697478991597,-6,-0.19550251438845762,0.75,0.9838709677419355
en,negativity,yield_2s10s,120,0.21589952354000977,0.06666666666666667,-0.017504161656284524,0.8571428571428571,-5,0.1321001054587456,0.42000000000000004,0.9838709677419355
en,negativity,hy_spread,120,-0.05377861722749639,0.5583333333333333,0.11943040543048408,0.16806722689075632,6,-0.24234375507423475,0.8375000000000001,0.9838709677419355
en,negativity,sp500_ret,120,-0.0282370771433625,0.7416666666666667,-0.09910711160039636,0.3445378151260504,3,0.2634208062610368,0.9014150943396226,0.9838709677419355
en,negativity,epu,120,0.15213428433885307,0.24166666666666667,0.10455850601988058,0.3949579831932773,4,0.11562741918261711,0.75,0.9838709677419355
ru,neg_sentiment,vix,63,-0.0958963051270896,0.5079365079365079,0.010476943960008625,0.9354838709677419,6,0.23165990104013948,0.8006249999999999,0.9838709677419355
ru,neg_sentiment,dff,63,-0.18628321019852648,0.23809523809523808,-0.06369419953362501,0.532258064516129,2,-0.14838798600889766,0.75,0.9838709677419355
ru,neg_sentiment,dollar,63,-0.3420040122975449,0.047619047619047616,-0.11040870890599262,0.46774193548387094,2,-0.3072675856841598,0.3333333333333333,0.9838709677419355
ru,neg_sentiment,yield_2s10s,63,0.10578782243541761,0.49206349206349204,-0.03748975585913932,0.8225806451612904,-5,0.15247980315638116,0.8006249999999999,0.9838709677419355
