signal,outcome,lag,n,r,p,family,q_fdr
overall_negtone,danger,2,187,-0.017525479816264268,0.8449197860962567,threat,1.0
overall_negtone,danger,3,186,0.0020039642837122494,1.0,threat,1.0
overall_negtone,weapon,0,188,-0.025346728231813106,0.8191489361702128,threat,1.0
overall_negtone,weapon,1,188,0.028963558116744392,0.7819148936170213,threat,1.0
overall_negtone,weapon,2,187,-0.07021070864565024,0.48663101604278075,threat,1.0
overall_negtone,weapon,3,186,-0.00690166682280258,0.9623655913978495,threat,1.0
overall_negtone,fear,0,188,-0.030468632691027155,0.7287234042553191,threat,1.0
overall_negtone,fear,1,188,0.08589237906377992,0.3776595744680851,threat,1.0
overall_negtone,fear,2,187,-0.057092413994651446,0.5561497326203209,threat,1.0
overall_negtone,fear,3,186,-0.0008019107380028557,1.0,threat,1.0
overall_negtone,nightmare_index,0,188,0.019598775543109598,0.8670212765957447,threat,1.0
overall_negtone,nightmare_index,1,188,0.0084517517308695,0.9627659574468085,threat,1.0
overall_negtone,nightmare_index,2,187,-0.01709796916563347,0.8663101604278075,threat,1.0
overall_negtone,nightmare_index,3,186,-0.007293547067578241,0.9516129032258065,threat,1.0
overall_negtone,food,0,188,-0.012472260763224828,0.8723404255319149,control,
overall_negtone,food,1,188,0.03723165305903105,0.648936170212766,control,
overall_negtone,food,2,187,-0.07214769340250306,0.37967914438502676,control,
overall_negtone,food,3,186,-0.05495683792523779,0.4731182795698925,control,
overall_negtone,animal,0,188,-0.0734880557475061,0.28191489361702127,control,
overall_negtone,animal,1,188,-0.055358475837812574,0.4574468085106383,control,
overall_negtone,animal,2,187,-0.17959345052592368,0.0106951871657754,control,
overall_negtone,animal,3,186,-0.050272474311691864,0.532258064516129,control,
